Region,1990,1995,2000,2005,2010,2015
AFR,922.7812195,849.6814674,1024.990027,1172.880277,1087.287471,1252.801012
CPA,3373.216345,3988.292061,4480.224218,7097.411405,9600.656645,12368.11569
EEU,1223.231608,1048.624547,1026.191608,1094.913853,1008.0508,996.4728609
FSU,4686.362758,3613.41238,2973.199485,3144.962861,3126.659355,3690.698341
LAM,1540.623029,1654.058072,1975.947614,2133.446132,2193.354685,2393.413735
MEA,1422.894767,1698.514007,1734.164536,2143.727429,2726.618266,3324.831126
NAM,6694.646644,7310.701034,7757.081374,8027.71572,7390.794093,6858.554891
PAO,1678.120503,1762.594394,1868.293877,1964.540434,1916.726612,1904.619083
PAS,1198.909866,1583.861014,2074.051302,2517.681404,2869.04084,2914.83256
SAS,1091.126126,1218.346474,1662.656578,2020.036221,2337.320512,3467.404143
WEU,4421.316483,4381.416855,4464.630273,4743.885202,4294.610914,4038.412661
World,50.85225633,58.88465368,569.625819,611.6295622,652.6859779,733.4114765
